psu,strata_id,Location.name.in.English,Location.name.in.Arabic,COD_Subdistrict,COD_District,COD_Governorate,Latitude,Longitude,SumDist,proba,num_households,num_surveys
33257,Al-Mosul,Msherfa 2,مشيرفة 2,Al-Muhamadath,Al-Mosul,Ninewa,36.37883671,43.07380498,167465,0.005625056,942,6
277,Al-Kaim,Hay Al-Maamon,حي المامون,Al-Rummaneh,Al-Kaim,Al-Anbar,34.39362133,41.000431,15084,0.090426942,1364,12
21201,Al-Falluja,Albu Shihab,البوشهاب,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.39917258,43.58249848,94177,0.011234165,1058,6
33252,Al-Mosul,Al-Sinaa Al-Qadema,الصناعة القديمة,Al-Muhamadath,Al-Mosul,Ninewa,36.33732899,43.10615109,167465,0.008067357,1351,6
33404,Tilkaef,AL-sheek Maaroof village,قرية الشيخ معروف,Markaz Tilkaef,Tilkaef,Ninewa,36.384447,42.99617734,20512,0.002193838,45,6
33342,Al-Falluja,Hay Jbeal,حي جبيل,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.32421,43.77623968,94177,0.033288383,3135,6
31775,Al-Mosul,Al-Areej Village,قرية العريج,Hammam Al-Alil,Al-Mosul,Ninewa,36.19146914,43.20713996,167465,0.017914191,3000,6
33174,Tilkaef,Tel Al-raes Al-thania Village,قرية تل الريس الثانية,Markaz Tilkaef,Tilkaef,Ninewa,36.412192,42.96872791,20512,0.058648596,1203,18
18367,Al-Mosul,Al-Yarmuk,حي اليرموك,Al-Muhamadath,Al-Mosul,Ninewa,36.33808679,43.08332718,167465,0.014134297,2367,6
31912,Al-Mosul,Bahzani,بحزاني ,Bashiqa,Al-Mosul,Ninewa,36.457312,43.33830961,167465,0.01970561,3300,12
23811,Haditha,Hay Barwanah Al Gharbiyah,حي بروانه غربيه,Barwana,Haditha,Al-Anbar,34.09547956,42.38043973,4525,0.04640884,210,12
24315,Haditha,Hay Al Rahman,حي الرحمن,Barwana,Haditha,Al-Anbar,34.08711253,42.376353,4525,0.057458564,260,12
21007,Al-Mosul,Zanjili,الزنجيلي,Al-Muhamadath,Al-Mosul,Ninewa,36.34975751,43.11049303,167465,0.021126803,3538,6
23812,Haditha,Hay Ibn Bittar,حي ابن بيطار,Barwana,Haditha,Al-Anbar,34.08381752,42.38563715,4525,0.048618785,220,6
21258,Al-Mosul,Tal Al-Rumman,تل الرمان,Al-Muhamadath,Al-Mosul,Ninewa,36.31561638,43.08996264,167465,0.016504941,2764,12
18372,Al-Mosul,Al-Wahda,الوحدة,Al-Muhamadath,Al-Mosul,Ninewa,36.32498049,43.18981081,167465,0.013871555,2323,6
33820,Haditha,Hay Al_salam,حي السلام,Barwana,Haditha,Al-Anbar,34.0898,42.38123,4525,0.03160221,143,6
21580,Al-Mosul,Orta akrab Village,قرية اورطه خراب,Bashiqa,Al-Mosul,Ninewa,36.422829,43.23208311,167465,0.00324844,544,6
23813,Haditha,Hay Al Shuhadaa,حي الشهداء,Barwana,Haditha,Al-Anbar,34.09260433,42.397337,4525,0.025414365,115,6
18369,Al-Mosul,Al-Khadraa,الخضراء,Al-Muhamadath,Al-Mosul,Ninewa,36.35689079,43.2227368,167465,0.004878631,817,6
272,Al-Kaim,Hay 12 Rabee Alawal,حي 12ربيع الاول,Al-Rummaneh,Al-Kaim,Al-Anbar,34.39208833,40.98504599,15084,0.040705383,614,6
79,Haditha,Hay Al-Subhani,حي السبحاني,Barwana,Haditha,Al-Anbar,34.11291371,42.38267137,4525,0.032044199,145,6
18009,Al-Mosul,Mjareen Village,قرية مجارين,Al-Muhamadath,Al-Mosul,Ninewa,36.35986,42.71071761,167465,0.007165676,1200,6
20782,Al-Mosul,Al-Muharibeen,المحاربين,Al-Muhamadath,Al-Mosul,Ninewa,36.38366231,43.19343104,167465,0.00294987,494,6
27285,Sinjar,Borek,بورك,Al-Shamal,Sinjar,Ninewa,36.49436739,41.86820613,12041,0.159704343,1923,6
33655,Sinjar,Kani Edo,كاني عيدو      ,Markaz Sinjar,Sinjar,Ninewa,36.3013473,41.8505089,12041,0.001079645,13,12
34036,Sinjar,Hay Al Shafaa,حي الشفاء,Al-Qairawan,Sinjar,Ninewa,36.15406,42.039688,12041,0.0098829,119,6
27399,Sinjar,Sharaf Alddin,شرف الدين,Al-Shamal,Sinjar,Ninewa,36.42984078,41.86808233,12041,0.013287933,160,6
33998,Sinjar,Hazeel Al-Kabeer Village,قرية هزيل الكبير,Al-Qairawan,Sinjar,Ninewa,36.154129,42.052066,12041,0.011377793,137,6
34038,Sinjar,Hay Al Mamoon,حي المأمون,Al-Qairawan,Sinjar,Ninewa,36.16286,42.034429,12041,0.032389336,390,6
18048,Sinjar,Guhbal and shorka,كهبل +شوركا  ,Al-Shamal,Sinjar,Ninewa,36.50572952,41.95736199,12041,0.053982227,650,6
27358,Sinjar,Kolka,كولكا,Al-Shamal,Sinjar,Ninewa,36.37152891,41.72511078,12041,0.006727016,81,12
33651,Sinjar,Zaytoniya,زيتونية,Markaz Sinjar,Sinjar,Ninewa,36.3069755,41.8797018,12041,0.003571132,43,6
24117,Haditha,Haqlaniyah-Hay Al-Faroq,حي الفاروق-حقلانية,Al-Haqlaniya,Haditha,Al-Anbar,34.08341069,42.35196982,4525,0.011049724,50,6
33873,Sinjar,Sibaya harrush,سيباية حروش,Al-Qairawan,Sinjar,Ninewa,36.227443,42.124177,12041,0.003737231,45,12
23274,Sinjar,Hay Alqadseya,حي القادسية,Markaz Sinjar,Sinjar,Ninewa,36.32342149,41.87365479,12041,0.007391413,89,6
23820,Haditha,Hay K 28,مجمع ك 28 (( كي ثري )),Al-Haqlaniya,Haditha,Al-Anbar,34.07182393,42.36524882,4525,0.083977901,380,6
27287,Sinjar,Zorava and zirwa,زورافا+زيروا ,Al-Shamal,Sinjar,Ninewa,36.47246728,42.01588827,12041,0.060709243,731,6
17928,Sinjar,Sinuni center,مركز سنوني,Al-Shamal,Sinjar,Ninewa,36.46593984,41.71338533,12041,0.084793622,1021,6
18016,Sinjar,Golat,كولات,Markaz Sinjar,Sinjar,Ninewa,36.4036,42.12902345,12041,0.029399552,354,6
17617,Telafar,Qasr Sarij,قرية قسرصريج,Al-Ayadiya,Telafar,Ninewa,36.55342282,42.51140824,57839,0.015560435,900,6
23817,Haditha,Hay Al Shay,حي الشاعي,Barwana,Haditha,Al-Anbar,34.12659465,42.39245154,4525,0.047292818,214,12
25807,Telafar,Hay althahabe,الحي الذهبي,Rabia,Telafar,Ninewa,36.80170925,42.09458755,57839,0.003596189,208,6
23822,Haditha,Albu Hayat,قرية البوحياة,Al-Haqlaniya,Haditha,Al-Anbar,34.006133,42.38533008,4525,0.06718232,304,12
24109,Haditha,Barwanah-Hay Al-Shurta,حي الشرطة-بروانه,Barwana,Haditha,Al-Anbar,34.09212563,42.39748965,4525,0.129723757,587,24
27304,Telafar,Kharabat Ashiq,قرية خرابت عاشق,Zummar,Telafar,Ninewa,36.75874864,42.45894678,57839,0.016649665,963,12
23648,Telafar,Sahilah Village,سحيله,Zummar,Telafar,Ninewa,37.0132505,42.34194814,57839,0.00302564,175,6
17625,Telafar,Eayan Alturs,قرية عين الفرس,Zummar,Telafar,Ninewa,36.7393,42.53539788,57839,0.005273259,305,6
34048,Telafar,Hay Al Noor Al Thania,حي النور الثانية ,Markaz Telafar,Telafar,Ninewa,36.377547,42.464541,57839,0.012154429,703,6
21264,Heet,Basair,البصائر ,Markaz Heet,Heet,Al-Anbar,33.6499489,42.80809027,29284,0.046988116,1376,12
28439,Telafar,Tal Talab vilage,قرية تل طلب,Rabia,Telafar,Ninewa,36.74584971,42.20245753,57839,0.00191912,111,6
18302,Telafar,Hay Al wahda,حي الوحدة,Markaz Telafar,Telafar,Ninewa,36.37497,42.4282364,57839,0.039852003,2305,6
33212,Telafar,Humur Eafin,قرية حمر عفين,Zummar,Telafar,Ninewa,36.7515,42.59057091,57839,0.000224762,13,6
66,Al-Kaim,Sadah,قرية سعده,Al-Karabla,Al-Kaim,Al-Anbar,34.36995574,41.09281041,15084,0.049721559,750,6
22446,Telafar,Al Mafri,قرية مفري,Zummar,Telafar,Ninewa,36.60934422,42.57199697,57839,0.007347983,425,6
33420,Telafar,Hay Al Zahraa,حي الزهراء,Markaz Telafar,Telafar,Ninewa,36.379492,42.4255152,57839,0.015387541,890,6
25944,Telafar,Qasabat Zummar,قصبة زمار,Zummar,Telafar,Ninewa,36.65599757,42.59801338,57839,0.071750895,4150,18
25809,Telafar,Domez complex,مجمع دوميز,Zummar,Telafar,Ninewa,36.71204681,42.61461067,57839,0.011272671,652,6
27356,Telafar,Tel shor,قرية تل الشور,Rabia,Telafar,Ninewa,36.49949129,42.14103331,57839,0.001988278,115,6
21603,Tilkaef,Baawiza,بعويزة,Markaz Tilkaef,Tilkaef,Ninewa,36.43356032,43.15578703,20512,0.045339314,930,12
17949,Tilkaef,Derston,دير ستون ,Al-Qosh,Tilkaef,Ninewa,36.67726055,43.01571448,20512,0.012187988,250,6
33445,Tilkaef,Ammar Bet Village,قرية عمار بيت,Wana,Tilkaef,Ninewa,36.5346,42.95195506,20512,0.00999415,205,6
24682,Tilkaef,Al Quba,القبة,Markaz Tilkaef,Tilkaef,Ninewa,36.40208884,43.04396592,20512,0.17550702,3600,12
17133,Tilkaef,wanna center,مركز وانة,Wana,Tilkaef,Ninewa,36.53558507,42.75997942,20512,0.091409906,1875,6
33541,Al-Shikhan,Shwedeg Sagheer,شويدج صغير,Markaz Al-Shikhan,Al-Shikhan,Ninewa,36.564837,43.217469,299,0.110367893,33,4
17602,Tilkaef,Kany-Sheren,كاني شيرين,Markaz Tilkaef,Tilkaef,Ninewa,36.564261,43.032031,20512,0.010725429,220,6
17600,Tilkaef,Hasan-Galad,قرية حسن جلاد,Markaz Tilkaef,Tilkaef,Ninewa,36.530579,43.00519903,20512,0.007897816,162,6
21601,Tilkaef,Sada Area,منطقة السادة,Markaz Tilkaef,Tilkaef,Ninewa,36.42253923,43.15926051,20512,0.07824688,1605,6
23415,Tilkaef,Semehla,قرية سيمحلة,Wana,Tilkaef,Ninewa,36.578664,42.93158469,20512,0.006971529,143,6
21605,Tilkaef,Musqalat Al-Shamalih,مسقلاط الشمالية,Markaz Tilkaef,Tilkaef,Ninewa,36.5917828,43.0416133,20512,0.006825273,140,6
17788,Tilkaef,Der Umtutha,قرية ديرام توثة,Wana,Tilkaef,Ninewa,36.50545966,42.78384651,20512,0.024375975,500,6
26077,Al-Daur,Hay Tal Al Banat,حي تل البنات,Abu Dalf,Al-Daur,Salah Al-Din,34.4476367,43.79889497,10081,0.120920544,1219,6
20587,Al-Daur,Hay Abu Dalaf,حي ابو دلف,Abu Dalf,Al-Daur,Salah Al-Din,34.45569217,43.79879331,10081,0.147306815,1485,24
26078,Al-Daur,Hay Al Askri,حي العسكري,Abu Dalf,Al-Daur,Salah Al-Din,34.46264848,43.79113717,10081,0.082432298,831,12
152,Heet,Al Muhamdee,المحمدي ,Al-Forat,Heet,Al-Anbar,33.55951649,42.90148478,29284,0.022333015,654,6
26116,Al-Daur,Al Mujammaa Al Sakani,المجمع السكني,Abu Dalf,Al-Daur,Salah Al-Din,34.4093972,43.78942745,10081,0.280329332,2826,36
20746,Al-Daur,Al-Khadhra area,حي الخضراء,Abu Dalf,Al-Daur,Salah Al-Din,34.47699,43.79037775,10081,0.063188176,637,6
20713,Al-Daur,Hay Al Qadisiah,حي القادسية,Abu Dalf,Al-Daur,Salah Al-Din,34.473313,43.79133138,10081,0.074198988,748,6
26080,Al-Daur,Hay Al Sharqiyah,حي الشرقية,Abu Dalf,Al-Daur,Salah Al-Din,34.45350793,43.78909198,10081,0.058129154,586,12
26079,Al-Daur,Hay Al Aboor,حي العبور,Abu Dalf,Al-Daur,Salah Al-Din,34.4652675,43.79065796,10081,0.090268823,910,6
26082,Al-Daur,Hay Al Mahad,حي المعهد,Abu Dalf,Al-Daur,Salah Al-Din,34.45656032,43.80569889,10081,0.034718778,350,6
26081,Al-Daur,Al Asriyah village,القرية العصرية,Abu Dalf,Al-Daur,Salah Al-Din,34.46089339,43.84198922,10081,0.025096717,253,6
28420,Balad,Albo Fadaus Village,قرية البوفدعوس,Al-Dujeel,Balad,Salah Al-Din,33.86874825,44.355067,13022,0.040393181,526,6
25947,Balad,Bezna Village,قرية بزنة,Yathreb,Balad,Salah Al-Din,33.90924349,44.18353,13022,0.041698664,543,6
33790,Balad,Al-Shehabbi Village,قرية الشهابي,Yathreb,Balad,Salah Al-Din,33.966393,44.30386,13022,0.030640455,399,6
33124,Beygee,Al-Salman village,قرية السلمان,Makkhoul,Beygee,Salah Al-Din,35.33025,43.26614918,22815,0.0458032,1045,6
20613,Al-Shirqat,Sudayrah Tak Tak Village,قرية سديره طك طك,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.45198,43.29188179,22839,0.045930207,1049,6
33126,Al-Shirqat,Al-Sheekh Hamad Village,قرية الشيخ حمد,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.560374,43.27774764,22839,0.039712772,907,6
21955,Al-Shirqat,Hay Al-Khasim Al-Qadem village,قرية الخصم القديمة,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.4860996,43.24136451,22839,0.033276413,760,6
20588,Al-Shirqat,Sudayrah Sufla Village,قرية سديره سفلى,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.466904,43.29417902,22839,0.037698673,861,6
21347,Al-Shirqat,Al-Musehly Village,قرية المسيحلي,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.40670733,43.20443065,22839,0.0071807,164,6
21004,Al-Shirqat,Hay Al Askari,الحي العسكري,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.51588268,43.24014327,22839,0.03914357,894,12
33122,Al-Shirqat,Sudayrah Aulya Village,قرية سديره عليا,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.443157,43.28802411,22839,0.076448181,1746,6
21002,Al-Shirqat,Al Khanuga village,قرية الخانوكة,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.39407146,43.2562212,22839,0.008756951,200,6
33402,Al-Shirqat,Shattye Al-Jider village,شاطي الجدر,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.353168,43.33280417,22839,0.018477166,422,6
21349,Al-Shirqat,Al-Swedan Village,قرية سويدان,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.62253532,43.24083119,22839,0.019484216,445,6
29655,Al-Shirqat,Hay Tal Baajah,حي تل بعاجة,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.52689026,43.22822702,22839,0.020097202,459,6
29652,Al-Shirqat,Hay Al-noor,حي النور,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.49564536,43.240898,22839,0.017294978,395,6
33957,Heet,alrashid,الرشيد,Kubaisa,Heet,Al-Anbar,33.58864,42.62435,29284,0.00659063,193,6
33123,Al-Shirqat,Sudayrah Westa Village,قرية سديره وسطى,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.430951,43.29735383,22839,0.049301633,1126,12
29654,Al-Shirqat,Hay Al-Baladyat,حي البلديات,Markaz Al-Shirqat,Al-Shirqat,Salah Al-Din,35.53883531,43.22417697,22839,0.014974386,342,6
100,Heet,Abu Tibban,ابوطيبان,Al-Forat,Heet,Al-Anbar,33.52770924,42.94823615,29284,0.039885262,1168,6
33369,Beygee,Hay Altameem,حي التأميم,Al-Synia,Beygee,Salah Al-Din,34.921845,43.48296141,22815,0.027964059,638,6
23388,Beygee,Al Hamra village,قرية الحمرة,Markaz Beygee,Beygee,Salah Al-Din,34.75922381,43.60555224,22815,0.013806706,315,6
22581,Beygee,Hay Tal Al Zatar-mahalla 219,حي تل الزعتر م(15-البندري والاشيطح)محلة,Al-Synia,Beygee,Salah Al-Din,34.93565,43.48967088,22815,0.020118343,459,6
24304,Beygee,Al Mushhaq Village,قرية المسحك,Makkhoul,Beygee,Salah Al-Din,35.185783,43.41311343,22815,0.038658777,882,6
20607,Beygee,Hay Alrisalah,حي الرسالة,Al-Synia,Beygee,Salah Al-Din,34.926822,43.49148764,22815,0.017357002,396,6
33434,Beygee,Sheik Ali village,قرية الشيخ علي,Makkhoul,Beygee,Salah Al-Din,35.1807187,43.29254159,22815,0.018058295,412,6
23647,Al-Kaim,Al Aubaidi Al Qadima,العبيدي القديمة ,Al-Obiadi,Al-Kaim,Al-Anbar,34.42020331,41.20149436,15084,0.039976134,603,12
23435,Beygee,Al-Zweeyah Village,قرية الزوية ,Makkhoul,Beygee,Salah Al-Din,35.2612,43.397525,22815,0.095638834,2182,18
20689,Beygee,Markaz Makhoul,مركز مكحول,Makkhoul,Beygee,Salah Al-Din,35.2027688,43.27791681,22815,0.006662284,152,6
20720,Beygee,AL-Siniya,الصينية,Al-Synia,Beygee,Salah Al-Din,34.930908,43.41288243,22815,0.085864563,1959,12
137,Heet,Saweeb,سويب,Markaz Heet,Heet,Al-Anbar,33.60455112,42.888982,29284,0.009390794,275,6
22813,Beygee,Qaryat Al Sareen,مقاطعة 13 الحجاج والجيسات قرية الصرين,Markaz Beygee,Beygee,Salah Al-Din,34.86225969,43.49558631,22815,0.028490028,650,6
20866,Beygee,Tal abu Jarad area-Mahalla 104,تل أبو جراد محلة 104,Al-Synia,Beygee,Salah Al-Din,34.9316,43.46459206,22815,0.013061582,298,6
24305,Samarra,Al Namel Village,قرية النمل,Dijla,Samarra,Salah Al-Din,34.333402,43.34943202,9844,0.026412028,260,6
33715,Samarra,AL-Zahwer,الزهور,Dijla,Samarra,Salah Al-Din,34.477461,43.47602207,9844,0.011174319,110,6
25742,Balad,Al-Duloeyah-Hay Al Jubor,محلة الجبور الاولى,Al-Duloeyah,Balad,Salah Al-Din,34.03255609,44.23111624,13022,0.029181385,380,6
33954,Heet,jabil,جبيل,Al-Forat,Heet,Al-Anbar,33.56769,42.91487,29284,0.018644994,546,6
20773,Balad,Beshakan village,قرية بيشكان,Al-Duloeyah,Balad,Salah Al-Din,34.03443349,44.28259692,13022,0.039164491,510,12
33437,Balad,Aziz Balad,عزيز بلد,Yathreb,Balad,Salah Al-Din,34.023395,44.166704,13022,0.049685148,647,12
23056,Balad,Jwezerat,قرية جويزرات,Yathreb,Balad,Salah Al-Din,34.043058,44.139455,13022,0.042313009,551,12
20770,Balad,Al-Duloeyah-Hay khazraj,محلة خزرج,Al-Duloeyah,Balad,Salah Al-Din,34.04808189,44.21884053,13022,0.031715558,413,18
29565,Balad,Yathrib sub distrct,ناحية يثرب,Yathreb,Balad,Salah Al-Din,34.028012,44.25703679,13022,0.447857472,5832,30
20767,Balad,Albu Jewari,محلة البو جواري,Al-Duloeyah,Balad,Salah Al-Din,34.06002525,44.21800742,13022,0.03939487,513,6
20673,Samarra,Al-Jillam area,منطقة الجلام,Markaz Samarra,Samarra,Salah Al-Din,34.24088767,43.89312124,9844,0.099857781,983,6
29539,Samarra,Mahalla Makeshfa,محلة مكيشفة,Dijla,Samarra,Salah Al-Din,34.36904718,43.75919988,9844,0.298151158,2935,36
20674,Samarra,Al-Hewaish area,قرية الحويش,Al-Tharthar,Samarra,Salah Al-Din,34.19515165,43.80748367,9844,0.084518488,832,18
20695,Samarra,Al-Abasiya Village,قرية العباسية,Dijla,Samarra,Salah Al-Din,34.30092393,43.78031314,9844,0.049573344,488,18
33608,Samarra,Banat Al-hassan village,قرية بنات الحسن,Al-Muotasim,Samarra,Salah Al-Din,34.148833,43.9495084,9844,0.038602194,380,6
25926,Samarra,Hawi Albsat,مقاطعة 27 حاوى البساط,Markaz Samarra,Samarra,Salah Al-Din,34.26137899,43.87541313,9844,0.051503454,507,18
20752,Samarra,Al_Jazera,مقاطعة 9 الجزيرة(الجزءالجنوبي),Al-Tharthar,Samarra,Salah Al-Din,34.24620221,43.660999,9844,0.238520926,2348,12
21473,Heet,kibae,كباع,Al-Forat,Heet,Al-Anbar,33.53214,43.04051,29284,0.006351591,186,6
25960,Tikrit,Hay Aljamiyaa,حي الجمعية-محله 418,Um Al-Qura,Tikrit,Salah Al-Din,34.59299692,43.67410527,29486,0.039171132,1155,6
20638,Tikrit,Hay Al Dhubbat,حي الضباط,Um Al-Qura,Tikrit,Salah Al-Din,34.63466839,43.6702753,29486,0.02713152,800,6
20666,Tikrit,Uwainat,عوينات,Um Al-Qura,Tikrit,Salah Al-Din,34.47137992,43.73535038,29486,0.020857356,615,6
33824,Heet,Hay AL-zihoor,حي الزهور ,Markaz Heet,Heet,Al-Anbar,33.628441,42.836747,29284,0.017859582,523,6
25922,Tikrit,Qadisya 1 Mahala 214,حي المطاردة(قادسية1)مقاطعة 7-محله 214,Um Al-Qura,Tikrit,Salah Al-Din,34.64578089,43.66608673,29486,0.072983789,2152,12
23848,Heet,Zoyah Al-gharbiyah,زوية الغربية,Al-Forat,Heet,Al-Anbar,33.56746228,42.91583728,29284,0.013659336,400,6
21592,Tikrit,Hay Al sinay-Al samad,حي الصناعي-م(51-المجرة وتل رجيم)قرية الصمد,Al-Alam,Tikrit,Salah Al-Din,34.71326825,43.70669107,29486,0.025944516,765,6
25950,Tikrit,Tal-Al Sibaat Village,قرية تل السيباط,Al-Alam,Tikrit,Salah Al-Din,34.81969084,43.57772889,29486,0.017974632,530,6
163,Heet,Al Baker,حي البكر,Markaz Heet,Heet,Al-Anbar,33.64958145,42.83134286,29284,0.035275236,1033,6
