"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hno_severity_1","population_group","0","idp_out_camp",0.735537190082645,NA,0.669312298507193,0.801762081658096,"district_mcna","al.adhamiya"
"hno_severity_1","population_group","1","idp_out_camp",0.264462809917355,NA,0.198237918341904,0.330687701492807,"district_mcna","al.adhamiya"
"hno_severity_1","population_group","0","idp_in_camp",0.96875,NA,0.932258844570927,1.00524115542907,"district_mcna","al.amadiya"
"hno_severity_1","population_group","1","idp_in_camp",0.03125,NA,-0.0052411554290727,0.0677411554290727,"district_mcna","al.amadiya"
"hno_severity_1","population_group","0","idp_out_camp",1,NA,1,1,"district_mcna","al.amadiya"
"hno_severity_1","population_group","0","idp_out_camp",1,NA,NA,NA,"district_mcna","al.baaj"
"hno_severity_1","population_group","0","returnee",1,NA,NA,NA,"district_mcna","al.baaj"
"hno_severity_1","population_group","0","idp_out_camp",0.87037037037037,NA,0.794478804949158,0.946261935791583,"district_mcna","al.basrah"
"hno_severity_1","population_group","1","idp_out_camp",0.12962962962963,NA,0.0537380642084172,0.205521195050842,"district_mcna","al.basrah"
"hno_severity_1","population_group","0","idp_out_camp",0.983333333333333,NA,0.955919106217475,1.01074756044919,"district_mcna","al.diwaniya"
"hno_severity_1","population_group","1","idp_out_camp",0.0166666666666667,NA,-0.0107475604491912,0.0440808937825245,"district_mcna","al.diwaniya"
"hno_severity_1","population_group","0","idp_out_camp",1,NA,1,1,"district_mcna","al.falluja"
"hno_severity_1","population_group","0","returnee",0.909183055544747,NA,0.841400382625669,0.976965728463826,"district_mcna","al.falluja"
"hno_severity_1","population_group","1","returnee",0.0908169444552526,NA,0.0230342715361743,0.158599617374331,"district_mcna","al.falluja"
"hno_severity_1","population_group","0","idp_in_camp",1,NA,1,1,"district_mcna","al.hamdaniya"
"hno_severity_1","population_group","0","idp_out_camp",0.945205479452055,NA,0.901241407557761,0.989169551346348,"district_mcna","al.hamdaniya"
"hno_severity_1","population_group","1","idp_out_camp",0.0547945205479452,NA,0.0108304486536515,0.0987585924422389,"district_mcna","al.hamdaniya"
"hno_severity_1","population_group","0","returnee",1,NA,1,1,"district_mcna","al.hamdaniya"
"hno_severity_1","population_group","0","returnee",0.950413223140496,NA,0.896857418212746,1.00396902806825,"district_mcna","al.hawiga"
"hno_severity_1","population_group","1","returnee",0.0495867768595041,NA,-0.00396902806824605,0.103142581787254,"district_mcna","al.hawiga"
"hno_severity_1","population_group","0","idp_in_camp",1,NA,NA,NA,"district_mcna","al.hinidya"
"hno_severity_1","population_group","0","idp_in_camp",1,NA,1,1,"district_mcna","al.kadhmiyah"
"hno_severity_1","population_group","0","idp_out_camp",0.933884297520661,NA,0.896538061253618,0.971230533787704,"district_mcna","al.kadhmiyah"
"hno_severity_1","population_group","1","idp_out_camp",0.0661157024793388,NA,0.0287694662122957,0.103461938746382,"district_mcna","al.kadhmiyah"
"hno_severity_1","population_group","0","returnee",0.930434782608696,NA,0.891212686237052,0.969656878980339,"district_mcna","al.kadhmiyah"
"hno_severity_1","population_group","1","returnee",0.0695652173913043,NA,0.0303431210196611,0.108787313762948,"district_mcna","al.kadhmiyah"
"hno_severity_1","population_group","0","returnee",0.986486486486487,NA,0.964258734770926,1.00871423820205,"district_mcna","al.kaim"
"hno_severity_1","population_group","1","returnee",0.0135135135135135,NA,-0.00871423820204691,0.0357412652290739,"district_mcna","al.kaim"
"hno_severity_1","population_group","0","idp_out_camp",0.902654867256637,NA,0.856582955846516,0.948726778666759,"district_mcna","al.karkh"
"hno_severity_1","population_group","1","idp_out_camp",0.0973451327433628,NA,0.0512732213332414,0.143417044153484,"district_mcna","al.karkh"
"hno_severity_1","population_group","0","idp_out_camp",0.990654205607477,NA,0.97866126806383,1.00264714315112,"district_mcna","al.khalis"
"hno_severity_1","population_group","1","idp_out_camp",0.00934579439252337,NA,-0.00264714315112345,0.0213387319361702,"district_mcna","al.khalis"
"hno_severity_1","population_group","0","returnee",1,NA,1,1,"district_mcna","al.khalis"
"hno_severity_1","population_group","0","idp_out_camp",0.830508474576271,NA,0.749475965154623,0.911540983997919,"district_mcna","al.kufa"
"hno_severity_1","population_group","1","idp_out_camp",0.169491525423729,NA,0.0884590160020808,0.250524034845377,"district_mcna","al.kufa"
"hno_severity_1","population_group","0","idp_out_camp",0.866166124704551,NA,0.670339385475154,1.06199286393395,"district_mcna","al.kut"
"hno_severity_1","population_group","1","idp_out_camp",0.133833875295449,NA,-0.0619928639339483,0.329660614524846,"district_mcna","al.kut"
"hno_severity_1","population_group","0","idp_out_camp",0.869918699186992,NA,0.819732692128878,0.920104706245106,"district_mcna","al.mahmoudiya"
"hno_severity_1","population_group","1","idp_out_camp",0.130081300813008,NA,0.0798952937548939,0.180267307871122,"district_mcna","al.mahmoudiya"
